invoice_id,branch,city,category,unit_price,quantity,total_sales,profit_margin,gross_profit,date,year,month,month_name,quarter,day_of_week,is_weekend,time,hour,payment_method,rating,rating_category
27,WALM072,Lancaster,Fashion accessories,33.52,1,33.52,0.33,11.061600000000002,2019-02-08,2019,2,February,1,Friday,0,1900-01-01 15:31:00,15,Cash,6.7,Good
28,WALM046,Temple,Fashion accessories,87.67,2,175.34,0.48,84.1632,2019-03-10,2019,3,March,1,Sunday,1,1900-01-01 12:17:00,12,Credit card,7.7,Good
29,WALM012,Garland,Food and beverages,88.36,5,441.8,0.48,212.064,2019-01-25,2019,1,January,1,Friday,0,1900-01-01 19:48:00,19,Cash,9.6,Excellent
30,WALM075,San Marcos,Health and beauty,24.89,9,224.01,0.33,73.9233,2019-03-15,2019,3,March,1,Friday,0,1900-01-01 15:36:00,15,Cash,7.4,Good
31,WALM076,Huntsville,Fashion accessories,94.13,5,470.65,0.33,155.3145,2019-02-25,2019,2,February,1,Monday,0,1900-01-01 19:39:00,19,Credit card,4.8,Average
32,WALM098,Mineral Wells,Sports and travel,78.07,9,702.6299999999999,0.18,126.47339999999997,2019-01-28,2019,1,January,1,Monday,0,1900-01-01 12:43:00,12,Cash,4.5,Average
33,WALM021,McAllen,Sports and travel,83.78,8,670.24,0.48,321.7152,2019-01-10,2019,1,January,1,Thursday,0,1900-01-01 14:49:00,14,Cash,5.1,Average
34,WALM096,Eagle Pass,Health and beauty,96.58,2,193.16,0.18,34.7688,2019-03-15,2019,3,March,1,Friday,0,1900-01-01 10:12:00,10,Credit card,5.1,Average
35,WALM022,Mesquite,Food and beverages,99.42,4,397.68,0.48,190.8864,2019-02-06,2019,2,February,1,Wednesday,0,1900-01-01 10:42:00,10,Ewallet,7.5,Good
36,WALM095,Big Spring,Sports and travel,68.12,1,68.12,0.33,22.4796,2019-01-07,2019,1,January,1,Monday,0,1900-01-01 12:28:00,12,Ewallet,6.8,Good
37,WALM041,Mission,Sports and travel,62.62,5,313.09999999999997,0.48,150.28799999999998,2019-03-10,2019,3,March,1,Sunday,1,1900-01-01 19:15:00,19,Ewallet,7.0,Good
38,WALM070,Hurst,Electronic accessories,60.88,9,547.9200000000001,0.33,180.81360000000004,2019-01-15,2019,1,January,1,Tuesday,0,1900-01-01 17:17:00,17,Ewallet,4.7,Average
39,WALM070,Hurst,Health and beauty,54.92,8,439.36,0.33,144.9888,2019-03-23,2019,3,March,1,Saturday,1,1900-01-01 13:24:00,13,Ewallet,7.6,Good
40,WALM030,Richardson,Home and lifestyle,30.12,8,240.96,0.48,115.6608,2019-03-03,2019,3,March,1,Sunday,1,1900-01-01 13:01:00,13,Cash,7.7,Good
41,WALM033,Pearland,Home and lifestyle,86.72,1,86.72,0.48,41.6256,2019-01-17,2019,1,January,1,Thursday,0,1900-01-01 18:45:00,18,Ewallet,7.9,Good
42,WALM088,Cleburne,Home and lifestyle,56.11,2,112.22,0.33,37.0326,2019-02-02,2019,2,February,1,Saturday,1,1900-01-01 10:11:00,10,Cash,6.3,Good
43,WALM079,La Porte,Sports and travel,69.12,6,414.72,0.33,136.85760000000002,2019-02-08,2019,2,February,1,Friday,0,1900-01-01 13:03:00,13,Cash,5.6,Average
44,WALM042,Bryan,Food and beverages,98.7,8,789.6,0.48,379.008,2019-03-04,2019,3,March,1,Monday,0,1900-01-01 20:39:00,20,Cash,7.6,Good
45,WALM036,Allen,Health and beauty,15.37,2,30.74,0.48,14.755199999999999,2019-03-16,2019,3,March,1,Saturday,1,1900-01-01 19:47:00,19,Cash,7.2,Good
46,WALM056,Rowlett,Electronic accessories,93.96,4,375.84,0.33,124.0272,2019-03-09,2019,3,March,1,Saturday,1,1900-01-01 18:00:00,18,Cash,9.5,Excellent
47,WALM058,Port Arthur,Health and beauty,56.69,9,510.21,0.33,168.3693,2019-02-27,2019,2,February,1,Wednesday,0,1900-01-01 17:24:00,17,Credit card,8.4,Excellent
48,WALM015,Grand Prairie,Food and beverages,20.01,9,180.09,0.48,86.4432,2019-02-06,2019,2,February,1,Wednesday,0,1900-01-01 15:47:00,15,Ewallet,4.1,Average
49,WALM063,Georgetown,Electronic accessories,18.93,6,113.58,0.33,37.4814,2019-02-10,2019,2,February,1,Sunday,1,1900-01-01 12:45:00,12,Credit card,8.1,Excellent
50,WALM021,McAllen,Fashion accessories,82.63,10,826.3,0.48,396.62399999999997,2019-03-19,2019,3,March,1,Tuesday,0,1900-01-01 17:08:00,17,Ewallet,7.9,Good
51,WALM089,Southlake,Food and beverages,91.4,7,639.8000000000001,0.33,211.13400000000004,2019-02-03,2019,2,February,1,Sunday,1,1900-01-01 10:19:00,10,Cash,9.5,Excellent
52,WALM093,Angleton,Food and beverages,44.59,5,222.95000000000002,0.33,73.57350000000001,2019-02-10,2019,2,February,1,Sunday,1,1900-01-01 15:10:00,15,Cash,8.5,Excellent
53,WALM041,Mission,Fashion accessories,17.87,4,71.48,0.48,34.3104,2019-03-22,2019,3,March,1,Friday,0,1900-01-01 14:42:00,14,Ewallet,6.5,Good
54,WALM045,Missouri City,Fashion accessories,15.43,1,15.43,0.48,7.4064,2019-01-25,2019,1,January,1,Friday,0,1900-01-01 15:46:00,15,Credit card,6.1,Good
55,WALM005,Fort Worth,Home and lifestyle,16.16,2,32.32,0.48,15.5136,2019-03-07,2019,3,March,1,Thursday,0,1900-01-01 11:49:00,11,Ewallet,6.5,Good
56,WALM042,Bryan,Electronic accessories,85.98,8,687.84,0.48,330.1632,2019-02-28,2019,2,February,1,Thursday,0,1900-01-01 19:01:00,19,Cash,8.2,Excellent
57,WALM003,San Antonio,Home and lifestyle,44.34,2,88.68,0.36,31.9248,2019-03-27,2019,3,March,1,Wednesday,0,1900-01-01 11:26:00,11,Cash,5.8,Average
58,WALM070,Hurst,Health and beauty,89.6,8,716.8,0.33,236.54399999999998,2019-02-07,2019,2,February,1,Thursday,0,1900-01-01 11:28:00,11,Ewallet,6.6,Good
59,WALM066,Grapevine,Home and lifestyle,72.35,10,723.5,0.33,238.75500000000002,2019-01-20,2019,1,January,1,Sunday,1,1900-01-01 15:55:00,15,Cash,5.4,Average
60,WALM031,Lewisville,Electronic accessories,30.61,6,183.66,0.48,88.15679999999999,2019-03-12,2019,3,March,1,Tuesday,0,1900-01-01 20:36:00,20,Cash,9.3,Excellent
61,WALM042,Bryan,Sports and travel,24.74,3,74.22,0.48,35.6256,2019-02-15,2019,2,February,1,Friday,0,1900-01-01 17:47:00,17,Credit card,10.0,Excellent
62,WALM078,Del Rio,Home and lifestyle,55.73,6,334.38,0.33,110.3454,2019-02-24,2019,2,February,1,Sunday,1,1900-01-01 10:55:00,10,Ewallet,7.0,Good
63,WALM037,League City,Sports and travel,55.07,9,495.63,0.48,237.9024,2019-02-03,2019,2,February,1,Sunday,1,1900-01-01 13:40:00,13,Ewallet,10.0,Excellent
64,WALM069,Rockwall,Sports and travel,15.81,10,158.1,0.33,52.173,2019-03-06,2019,3,March,1,Wednesday,0,1900-01-01 12:27:00,12,Credit card,8.6,Excellent
65,WALM087,Waxahachie,Health and beauty,75.74,4,302.96,0.33,99.9768,2019-02-14,2019,2,February,1,Thursday,0,1900-01-01 14:35:00,14,Cash,7.6,Good
66,WALM042,Bryan,Health and beauty,15.87,10,158.7,0.48,76.17599999999999,2019-03-13,2019,3,March,1,Wednesday,0,1900-01-01 16:40:00,16,Cash,5.8,Average
67,WALM020,Killeen,Health and beauty,33.47,2,66.94,0.48,32.1312,2019-02-10,2019,2,February,1,Sunday,1,1900-01-01 15:43:00,15,Ewallet,6.7,Good
68,WALM029,Round Rock,Fashion accessories,97.61,6,585.66,0.48,281.11679999999996,2019-01-07,2019,1,January,1,Monday,0,1900-01-01 15:01:00,15,Ewallet,9.9,Excellent
69,WALM079,La Porte,Sports and travel,78.77,10,787.6999999999999,0.33,259.941,2019-01-24,2019,1,January,1,Thursday,0,1900-01-01 10:04:00,10,Cash,6.4,Good
70,WALM035,San Angelo,Health and beauty,18.33,1,18.33,0.48,8.798399999999999,2019-02-02,2019,2,February,1,Saturday,1,1900-01-01 18:50:00,18,Cash,4.3,Average
71,WALM007,Arlington,Food and beverages,89.48,10,894.8000000000001,0.48,429.504,2019-01-06,2019,1,January,1,Sunday,1,1900-01-01 12:46:00,12,Credit card,9.6,Excellent
72,WALM017,McKinney,Fashion accessories,62.12,10,621.1999999999999,0.48,298.17599999999993,2019-02-11,2019,2,February,1,Monday,0,1900-01-01 16:19:00,16,Cash,5.9,Average
73,WALM096,Eagle Pass,Food and beverages,48.52,3,145.56,0.18,26.2008,2019-03-05,2019,3,March,1,Tuesday,0,1900-01-01 18:17:00,18,Ewallet,4.0,Average
74,WALM083,Farmers Branch,Electronic accessories,75.91,6,455.46,0.33,150.30180000000001,2019-03-09,2019,3,March,1,Saturday,1,1900-01-01 18:21:00,18,Cash,8.7,Excellent
75,WALM072,Lancaster,Home and lifestyle,74.67,9,672.03,0.33,221.7699,2019-01-22,2019,1,January,1,Tuesday,0,1900-01-01 10:55:00,10,Ewallet,9.4,Excellent
76,WALM003,San Antonio,Electronic accessories,41.65,10,416.5,0.48,199.92,2019-01-13,2019,1,January,1,Sunday,1,1900-01-01 17:04:00,17,Credit card,5.4,Average
77,WALM058,Port Arthur,Fashion accessories,49.04,9,441.36,0.33,145.64880000000002,2019-01-09,2019,1,January,1,Wednesday,0,1900-01-01 14:20:00,14,Credit card,8.6,Excellent
78,WALM094,Alamo,Fashion accessories,20.01,9,180.09,0.33,59.429700000000004,2019-01-12,2019,1,January,1,Saturday,1,1900-01-01 15:48:00,15,Credit card,5.7,Average
79,WALM063,Georgetown,Food and beverages,78.31,10,783.1,0.33,258.423,2019-03-05,2019,3,March,1,Tuesday,0,1900-01-01 16:24:00,16,Ewallet,6.6,Good
80,WALM071,Lufkin,Health and beauty,20.38,5,101.89999999999999,0.33,33.626999999999995,2019-01-22,2019,1,January,1,Tuesday,0,1900-01-01 18:56:00,18,Cash,6.0,Good
81,WALM061,Cedar Park,Health and beauty,99.19,6,595.14,0.33,196.3962,2019-01-21,2019,1,January,1,Monday,0,1900-01-01 14:42:00,14,Credit card,5.5,Average
82,WALM090,Brownwood,Food and beverages,96.68,3,290.04,0.33,95.71320000000001,2019-01-26,2019,1,January,1,Saturday,1,1900-01-01 19:56:00,19,Ewallet,6.4,Good
83,WALM061,Cedar Park,Food and beverages,19.25,8,154.0,0.33,50.82,2019-01-23,2019,1,January,1,Wednesday,0,1900-01-01 18:37:00,18,Ewallet,6.6,Good
84,WALM041,Mission,Food and beverages,80.36,4,321.44,0.48,154.2912,2019-02-23,2019,2,February,1,Saturday,1,1900-01-01 18:45:00,18,Ewallet,8.3,Excellent
85,WALM097,Alice,Sports and travel,48.91,5,244.54999999999998,0.18,44.019,2019-03-09,2019,3,March,1,Saturday,1,1900-01-01 10:17:00,10,Cash,6.6,Good
86,WALM043,Baytown,Sports and travel,83.06,7,581.4200000000001,0.48,279.08160000000004,2019-03-05,2019,3,March,1,Tuesday,0,1900-01-01 14:31:00,14,Ewallet,4.0,Average
87,WALM042,Bryan,Fashion accessories,76.52,5,382.59999999999997,0.48,183.64799999999997,2019-03-25,2019,3,March,1,Monday,0,1900-01-01 10:23:00,10,Cash,9.9,Excellent
88,WALM046,Temple,Food and beverages,49.38,7,345.66,0.48,165.9168,2019-03-27,2019,3,March,1,Wednesday,0,1900-01-01 20:35:00,20,Credit card,7.3,Good
89,WALM011,Lubbock,Sports and travel,42.47,1,42.47,0.48,20.3856,2019-01-02,2019,1,January,1,Wednesday,0,1900-01-01 16:57:00,16,Cash,5.7,Average
90,WALM064,Bedford,Health and beauty,76.99,6,461.93999999999994,0.33,152.44019999999998,2019-02-27,2019,2,February,1,Wednesday,0,1900-01-01 17:55:00,17,Cash,6.1,Good
91,WALM095,Big Spring,Home and lifestyle,47.38,4,189.52,0.33,62.54160000000001,2019-01-23,2019,1,January,1,Wednesday,0,1900-01-01 10:25:00,10,Cash,7.1,Good
92,WALM049,North Richland Hills,Sports and travel,44.86,10,448.6,0.48,215.328,2019-01-26,2019,1,January,1,Saturday,1,1900-01-01 19:54:00,19,Ewallet,8.2,Excellent
93,WALM040,Edinburg,Sports and travel,21.98,7,153.86,0.48,73.8528,2019-01-10,2019,1,January,1,Thursday,0,1900-01-01 16:42:00,16,Ewallet,5.1,Average
94,WALM065,Texas City,Health and beauty,64.36,9,579.24,0.33,191.1492,2019-03-12,2019,3,March,1,Tuesday,0,1900-01-01 12:09:00,12,Credit card,8.6,Excellent
95,WALM075,San Marcos,Health and beauty,89.75,1,89.75,0.33,29.6175,2019-02-06,2019,2,February,1,Wednesday,0,1900-01-01 20:05:00,20,Credit card,6.6,Good
96,WALM034,College Station,Electronic accessories,97.16,1,97.16,0.48,46.636799999999994,2019-03-08,2019,3,March,1,Friday,0,1900-01-01 20:38:00,20,Ewallet,7.2,Good
97,WALM014,Amarillo,Health and beauty,87.87,10,878.7,0.48,421.776,2019-03-29,2019,3,March,1,Friday,0,1900-01-01 10:25:00,10,Ewallet,5.1,Average
98,WALM096,Eagle Pass,Electronic accessories,12.45,6,74.69999999999999,0.18,13.445999999999998,2019-02-09,2019,2,February,1,Saturday,1,1900-01-01 13:11:00,13,Cash,4.1,Average
99,WALM004,Austin,Food and beverages,52.75,3,158.25,0.48,75.96,2019-03-23,2019,3,March,1,Saturday,1,1900-01-01 10:16:00,10,Ewallet,9.3,Excellent
100,WALM011,Lubbock,Home and lifestyle,82.7,6,496.20000000000005,0.48,238.17600000000002,2019-03-05,2019,3,March,1,Tuesday,0,1900-01-01 18:14:00,18,Cash,7.4,Good
101,WALM075,San Marcos,Fashion accessories,48.71,1,48.71,0.33,16.0743,2019-03-26,2019,3,March,1,Tuesday,0,1900-01-01 19:20:00,19,Cash,4.1,Average
102,WALM057,Euless,Fashion accessories,78.55,9,706.9499999999999,0.33,233.2935,2019-03-01,2019,3,March,1,Friday,0,1900-01-01 13:22:00,13,Cash,7.2,Good
103,WALM023,Midland,Electronic accessories,23.07,9,207.63,0.48,99.66239999999999,2019-02-01,2019,2,February,1,Friday,0,1900-01-01 11:27:00,11,Cash,4.9,Average
104,WALM012,Garland,Food and beverages,58.26,6,349.56,0.48,167.7888,2019-03-28,2019,3,March,1,Thursday,0,1900-01-01 16:44:00,16,Cash,9.9,Excellent
105,WALM078,Del Rio,Health and beauty,30.35,7,212.45000000000002,0.33,70.1085,2019-03-19,2019,3,March,1,Tuesday,0,1900-01-01 18:19:00,18,Cash,8.0,Excellent
106,WALM055,Waxahachie,Electronic accessories,88.67,10,886.7,0.33,292.61100000000005,2019-01-12,2019,1,January,1,Saturday,1,1900-01-01 14:50:00,14,Ewallet,7.3,Good
107,WALM038,Sugar Land,Fashion accessories,27.38,6,164.28,0.48,78.8544,2019-01-05,2019,1,January,1,Saturday,1,1900-01-01 20:54:00,20,Credit card,7.9,Good
108,WALM049,North Richland Hills,Sports and travel,62.13,6,372.78000000000003,0.48,178.9344,2019-03-22,2019,3,March,1,Friday,0,1900-01-01 20:19:00,20,Cash,7.4,Good
109,WALM044,Pharr,Food and beverages,33.98,9,305.82,0.48,146.7936,2019-03-24,2019,3,March,1,Sunday,1,1900-01-01 10:43:00,10,Cash,4.2,Average
110,WALM056,Rowlett,Electronic accessories,81.97,10,819.7,0.33,270.50100000000003,2019-03-03,2019,3,March,1,Sunday,1,1900-01-01 14:30:00,14,Cash,9.2,Excellent
111,WALM007,Arlington,Sports and travel,16.49,2,32.98,0.48,15.830399999999997,2019-02-05,2019,2,February,1,Tuesday,0,1900-01-01 11:32:00,11,Ewallet,4.6,Average
112,WALM025,Waco,Health and beauty,98.21,3,294.63,0.48,141.42239999999998,2019-02-05,2019,2,February,1,Tuesday,0,1900-01-01 10:41:00,10,Credit card,7.8,Good
113,WALM005,Fort Worth,Fashion accessories,72.84,7,509.88,0.48,244.74239999999998,2019-02-15,2019,2,February,1,Friday,0,1900-01-01 12:44:00,12,Cash,8.4,Excellent
114,WALM024,Carrollton,Home and lifestyle,58.07,9,522.63,0.48,250.86239999999998,2019-01-19,2019,1,January,1,Saturday,1,1900-01-01 20:07:00,20,Ewallet,4.3,Average
115,WALM003,San Antonio,Home and lifestyle,80.79,9,727.11,0.36,261.7596,2019-02-01,2019,2,February,1,Friday,0,1900-01-01 20:31:00,20,Credit card,9.5,Excellent
116,WALM087,Waxahachie,Fashion accessories,27.02,3,81.06,0.33,26.7498,2019-03-02,2019,3,March,1,Saturday,1,1900-01-01 13:01:00,13,Credit card,7.1,Good
117,WALM040,Edinburg,Fashion accessories,21.94,5,109.7,0.48,52.656,2019-03-05,2019,3,March,1,Tuesday,0,1900-01-01 12:29:00,12,Ewallet,5.3,Average
118,WALM071,Lufkin,Fashion accessories,51.36,1,51.36,0.33,16.948800000000002,2019-01-16,2019,1,January,1,Wednesday,0,1900-01-01 15:26:00,15,Ewallet,5.2,Average
119,WALM027,Abilene,Food and beverages,10.96,10,109.60000000000001,0.48,52.608000000000004,2019-02-02,2019,2,February,1,Saturday,1,1900-01-01 20:48:00,20,Ewallet,6.0,Good
120,WALM071,Lufkin,Home and lifestyle,53.44,2,106.88,0.33,35.2704,2019-01-20,2019,1,January,1,Sunday,1,1900-01-01 20:38:00,20,Ewallet,4.1,Average
121,WALM014,Amarillo,Electronic accessories,99.56,8,796.48,0.48,382.3104,2019-02-14,2019,2,February,1,Thursday,0,1900-01-01 17:03:00,17,Credit card,5.2,Average
122,WALM069,Rockwall,Sports and travel,57.12,7,399.84,0.33,131.9472,2019-01-12,2019,1,January,1,Saturday,1,1900-01-01 12:02:00,12,Credit card,6.5,Good
123,WALM085,Kerrville,Sports and travel,99.96,9,899.64,0.33,296.88120000000004,2019-03-09,2019,3,March,1,Saturday,1,1900-01-01 17:26:00,17,Credit card,4.2,Average
124,WALM061,Cedar Park,Home and lifestyle,63.91,8,511.28,0.33,168.7224,2019-03-13,2019,3,March,1,Wednesday,0,1900-01-01 19:52:00,19,Credit card,4.6,Average
125,WALM088,Cleburne,Fashion accessories,56.47,8,451.76,0.33,149.0808,2019-03-09,2019,3,March,1,Saturday,1,1900-01-01 14:57:00,14,Ewallet,7.3,Good
126,WALM034,College Station,Home and lifestyle,93.69,7,655.8299999999999,0.48,314.79839999999996,2019-03-10,2019,3,March,1,Sunday,1,1900-01-01 18:44:00,18,Credit card,4.5,Average
127,WALM016,Brownsville,Sports and travel,32.25,5,161.25,0.48,77.39999999999999,2019-01-27,2019,1,January,1,Sunday,1,1900-01-01 13:26:00,13,Cash,9.0,Excellent
128,WALM044,Pharr,Fashion accessories,31.73,9,285.57,0.48,137.0736,2019-01-08,2019,1,January,1,Tuesday,0,1900-01-01 16:17:00,16,Credit card,5.9,Average
129,WALM035,San Angelo,Food and beverages,68.54,8,548.32,0.48,263.1936,2019-01-08,2019,1,January,1,Tuesday,0,1900-01-01 15:57:00,15,Ewallet,8.5,Excellent
130,WALM018,Frisco,Sports and travel,90.28,9,812.52,0.48,390.0096,2019-02-08,2019,2,February,1,Friday,0,1900-01-01 11:15:00,11,Ewallet,7.2,Good
131,WALM022,Mesquite,Fashion accessories,39.62,7,277.34,0.48,133.1232,2019-01-25,2019,1,January,1,Friday,0,1900-01-01 13:18:00,13,Cash,7.5,Good
132,WALM068,Burleson,Sports and travel,92.13,6,552.78,0.33,182.4174,2019-03-06,2019,3,March,1,Wednesday,0,1900-01-01 20:34:00,20,Cash,8.3,Excellent
133,WALM055,Waxahachie,Sports and travel,34.84,4,139.36,0.33,45.988800000000005,2019-02-10,2019,2,February,1,Sunday,1,1900-01-01 18:36:00,18,Cash,7.4,Good
134,WALM002,Dallas,Electronic accessories,87.45,6,524.7,0.36,188.892,2019-02-17,2019,2,February,1,Sunday,1,1900-01-01 14:40:00,14,Credit card,8.8,Excellent
135,WALM062,Galveston,Health and beauty,81.3,6,487.79999999999995,0.33,160.974,2019-03-08,2019,3,March,1,Friday,0,1900-01-01 16:43:00,16,Ewallet,5.3,Average
136,WALM098,Mineral Wells,Fashion accessories,90.22,3,270.65999999999997,0.18,48.718799999999995,2019-02-18,2019,2,February,1,Monday,0,1900-01-01 19:39:00,19,Cash,6.2,Good
137,WALM027,Abilene,Electronic accessories,26.31,5,131.54999999999998,0.48,63.14399999999999,2019-01-18,2019,1,January,1,Friday,0,1900-01-01 20:59:00,20,Credit card,8.8,Excellent
138,WALM093,Angleton,Home and lifestyle,34.42,6,206.52,0.33,68.1516,2019-02-18,2019,2,February,1,Monday,0,1900-01-01 15:39:00,15,Cash,9.8,Excellent
139,WALM029,Round Rock,Sports and travel,51.91,10,519.0999999999999,0.48,249.16799999999995,2019-02-16,2019,2,February,1,Saturday,1,1900-01-01 12:21:00,12,Cash,8.2,Excellent
140,WALM016,Brownsville,Sports and travel,72.5,8,580.0,0.48,278.4,2019-03-16,2019,3,March,1,Saturday,1,1900-01-01 19:25:00,19,Ewallet,9.2,Excellent
141,WALM023,Midland,Sports and travel,89.8,10,898.0,0.48,431.03999999999996,2019-01-23,2019,1,January,1,Wednesday,0,1900-01-01 13:00:00,13,Credit card,5.4,Average
142,WALM012,Garland,Health and beauty,90.5,10,905.0,0.48,434.4,2019-01-25,2019,1,January,1,Friday,0,1900-01-01 13:48:00,13,Cash,8.1,Excellent
143,WALM052,Mansfield,Health and beauty,68.6,10,686.0,0.57,391.02,2019-02-05,2019,2,February,1,Tuesday,0,1900-01-01 19:57:00,19,Cash,9.1,Excellent
144,WALM097,Alice,Food and beverages,30.41,1,30.41,0.18,5.4738,2019-02-22,2019,2,February,1,Friday,0,1900-01-01 10:36:00,10,Credit card,8.4,Excellent
145,WALM045,Missouri City,Home and lifestyle,77.95,6,467.70000000000005,0.48,224.496,2019-01-21,2019,1,January,1,Monday,0,1900-01-01 16:37:00,16,Credit card,8.0,Excellent
146,WALM047,Flower Mound,Health and beauty,46.26,6,277.56,0.48,133.2288,2019-03-08,2019,3,March,1,Friday,0,1900-01-01 17:11:00,17,Credit card,9.5,Excellent
147,WALM026,Denton,Fashion accessories,30.14,10,301.4,0.48,144.672,2019-02-10,2019,2,February,1,Sunday,1,1900-01-01 12:28:00,12,Ewallet,9.2,Excellent
148,WALM054,Sherman,Health and beauty,66.14,4,264.56,0.21,55.5576,2019-03-19,2019,3,March,1,Tuesday,0,1900-01-01 12:46:00,12,Credit card,5.6,Average
149,WALM049,North Richland Hills,Home and lifestyle,71.86,8,574.88,0.48,275.94239999999996,2019-03-06,2019,3,March,1,Wednesday,0,1900-01-01 15:07:00,15,Credit card,6.2,Good
150,WALM065,Texas City,Health and beauty,32.46,8,259.68,0.33,85.6944,2019-03-27,2019,3,March,1,Wednesday,0,1900-01-01 13:48:00,13,Credit card,4.9,Average
